amenity_1,amenity_2,amenity_3,amenity_4,amenity_5,amenity_6,amenity_7,amenity_8,amenity_9,amenity_10,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,pop_10
90.02318763887286,84.00352670252956,82.5718437288801,87.40056304121502,100.41076247801189,75.00314730947929,81.10338506665988,95.58496437212831,87.89590047100465,91.00275824877643,2.154819341660816e-11,2.539985702166435e-11,2.660916283756644e-11,2.0315758841540786e-11,149.99999999986744,2.5985474382745973e-11,2.650362447545098e-11,0.0,2.0572032769315616e-11,2.09341552132126e-11
114.0955215459113,79.14925586116208,85.64773789733287,93.98772869726879,100.62937461582675,104.51781765139677,78.34418225840717,75.87257309283967,72.08805655788188,69.27046369823275,150.0,0.0,0.0,0.0,0.0,7.281286684701627e-11,0.0,0.0,0.0,0.0
81.9491911320242,88.09818479409653,77.97790199233593,93.27114122917135,99.09476036439234,100.94029998174418,71.50010683532999,96.67404464989123,92.33440121995443,79.43806477247114,1.1337834268630704e-10,9.376083254874097e-11,1.0353636513416883e-10,4.646621374874806e-11,0.0,149.99999999968978,9.407729516684429e-11,0.0,4.5630965429117336e-11,1.0721499663062156e-10
106.40495804626097,109.26990322663123,99.09101304248877,106.4018450266495,97.90942192756991,103.45114152681434,97.91204678275459,81.53488688574052,101.20593073647674,86.52020871994833,4.462805125449165e-12,150.0,0.0,6.336965674424988e-12,0.0,0.0,0.0,0.0,0.0,0.0
86.13424676751958,94.85300201851875,79.25921103770371,102.59095482526426,90.27659808447494,92.05656828307376,91.38983957900916,74.50697653951984,69.28532970664182,75.53936809503037,0.0,3.579714302759385e-11,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
80.72126509750308,117.4628255878059,85.26155253617068,94.75653679292031,109.39708311359634,106.42965527513927,84.22928885335604,102.4603701907922,87.36258240648263,85.40451935394057,1.279149747816099e-10,149.99999999916088,1.4965523902831558e-10,1.7603251928309982e-10,0.0,3.2598291537246206e-11,1.4294669582006815e-10,1.060105057216629e-10,1.5947816653417604e-10,1.4994090641248423e-10
113.45231177410722,79.17282511530489,111.96485462033363,107.48361905856554,78.52345676486053,106.92054136297602,85.81503708572596,88.118210029283,85.90548698234943,93.42955629534055,149.37158415952675,5.0194011558317883e-11,0.6284158400683079,3.852417972083006e-11,5.080870681065809e-11,1.909703203863538e-11,5.7785606600669666e-11,6.119353488573884e-11,5.8040159361906836e-11,6.929571723634332e-11
87.43717498424449,87.6443275914564,105.51311655721773,94.78218509387747,79.51759518759745,89.69151329733491,94.81235462396009,73.59124229962698,74.3818297358892,98.33332733516214,8.299582233047572e-11,8.471645952829487e-11,149.99999999938333,7.251744488764038e-11,8.353372702444113e-11,8.772685606137927e-11,7.30531748891632e-11,8.922155872287478e-11,8.851422452423938e-11,0.0
100.87561292474314,101.93998455485765,108.21792407941886,96.20013978561524,101.98993631445997,81.13830692037139,84.15165669373802,78.39483442730575,87.9575731461536,87.32917373250393,0.0,3.233502354760276e-11,150.0,0.0,3.8109959632492973e-11,0.0,0.0,0.0,0.0,0.0
103.88296606828426,83.65048218684348,76.68728892376863,101.73669111475174,94.32777635153195,99.82401035468087,82.28852789506826,79.7788329483374,99.98130459701423,86.51381429941036,149.99999999985218,5.861089391601126e-11,4.382982865536178e-11,0.0,4.242783901986513e-11,0.0,5.505595979116151e-11,4.9882764585618133e-11,0.0,6.386313700090795e-11
